No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
1,Tetracloruro-de-carbono,CCL4,6.8941,1219.58,227.17,-20,101
2,Triclorofluorometano,CCL3F,6.8843,1043.01,236.86,-33,27
3,Diclorodifluorometano,CCL2F2,6.68619,782.072,235.377,-119,-30
4,Clorotrifluorometano,CCLF3,6.35109,522.061,231.677,-150,-81
5,Tetrafluoruro-de-carbono,CF4,6.9723,540.5,260.1,-180,-125
6,Monóxido-de-carbono,CO,6.2402,230.27,260.01,-210,-165
7,Dióxido-de-carbono,CO2,9.8106,1347.79,273,-119,-69
8,Sulfuro-de-carbonilo,COS,6.90723,804.48,250,-111,-49
9,Disulfuro-de-carbono,CS2,6.9419,1168.62,241.54,-45,69
10,Cloroformo,CHCL3,6.9371,1171.2,227,-13,97
11,Diclorofluorometano,CHCL2F,6.97575,996.267,234.172,-91,9
12,Clorodifluorometano,CHCLF2,6.7577,740.39,231.86,-48,-33
13,Trifluorometano,CHF3,7.0886,705.33,249.78,-128,-82
14,Triiodometano,CHI3,6.59598,1567.8,204,137,254
15,Ácido-isotiociánico,CHNS,0,0,0,0,0
16,Diclorometano,CH2CL2,7.0803,1138.91,231.46,-44,59
17,Clorofluorometano,CH2CLF,6.20452,740.39,231.86,-55,12
18,Difluorometano,CH2F2,7.1389,821.7,244.7,-82,-32
19,Diiodometano,CH2I2,6.94246,1567.8,204,83,232
20,Formaldehído,CH2O,7.1561,957.24,243.01,-88,-2
21,Ácido-fórmico,CH2O2,7.3779,1563.28,247.07,-2,136
22,Bromometano,CH3BR,6.9597,986.59,238.33,-58,53
23,Clorometano,CH3CL,6.9944,902.45,243.61,-93,-7
24,Fluorometano,CH3F,7.0976,740.22,253.89,-132,-64
25,Yodometano,CH3I,6.988,1146.34,236.66,-13,52
26,Nitrometano,CH3NO2,7.044,1291,209.01,5,136
27,Metil-nitrito,CH3NO2,0,0,0,0,0
28,Metil-nitrato,CH3NO3,0,0,0,0,0
29,Metano,CH4,6.69561,405.42,267.777,-181,-152
30,Metanol,CH4O,8.0724,1574.99,238.87,-16,91
31,Metanotiol,CH4S,7.03163,1015.547,238.706,-70,25
32,Metilamina,CH5N,7.4969,1079.15,240.24,-61,38
33,Tetracloroeteno,C2CL4,7.02,1415.49,221.01,34,187
34,Hexacloroetano,C2CL6,7.08633,1626.945,197.048,33,186
35,112triclorotrifluoroetano,C2CL3F3,6.8803,1099.9,227.5,-25,83
36,12diclorotetrafluoroetano,C2CL2F4,6.87084,942.336,232.632,-95,4
37,Cloropentafluoroetano,C2CLF5,6.8333,802.97,242.28,-98,-43
38,Tetrafluoroeteno,C2F4,6.8966,683.84,245.94,-133,-63
39,Hexafluoroetano,C2F6,6.7933,657.06,246.22,-103,-73
40,Cianógeno,C2N2,6.43629,576.579,182.308,-77,-4
41,Tricloroeteno,C2HCL3,7.0281,1315.1,230.01,-13,127
42,Pentacloroetano,C2HCL5,6.74,1378,197,25,162
43,Trifluoroeteno,C2HF3,5.68715,491.359,227.23,-93,-31
44,Acetileno(etileno),C2H2,9.1402,1232.6,280.9,-129,-83
45,"1,1-dicloroeteno",C2H2CL2,6.9722,1099.4,237.2,-28,32
46,"cis-1,2-dicloroeteno",C2H2CL2,7.0223,1205.4,230.6,0,84
47,"trans-1,2-dicloroeteno",C2H2CL2,6.9651,1141.9,231.9,-38,85
48,"1,1,2,2-tetracloroetano",C2H2CL4,6.6317,1228.1,179.9,25,130
49,"1,1-difluoroeteno",C2H2F2,6.34918,491.359,227.239,-140,-86
50,"cis-1,2-difluoroeteno",C2H2F2,5.31401,491.359,227.23,-78,2.6
51,"trans-1,2-difluoroeteno",C2H2F2,5.31401,491.359,227.23,-78,2.6
52,Ceteno,C2H2O,6.9573,803.1,238.01,-103,-18
53,Bromoetileno,C2H3BR,7.24379,1219.308,264.021,-88,16
54,Cloroeteno,C2H3CL,6.4971,783.4,230.01,-88,17
55,"1,1,2-tricloroetano",C2H3CL3,6.9653,1351,217,29,155
56,Cloruro-de-acetilo,C2H3CLO,6.8407,1062.86,217.63,-36,82
57,Fluoroeteno,C2H3F,6.33949,593.551,243.111,-149,-72
58,"1,1,1-trifluoroetano",C2H3F3,6.9038,788.21,243.24,-3,27
59,Acetonitrilo,C2H3N,7.0735,1279.2,224.01,-13,117
60,Etileno,C2H4,6.74756,585,255,-153,-91
61,"1,2-dibromoetano",C2H4BR2,6.72148,1280.82,201.75,52,131
62,"1,1-dicloroetano",C2H4CL2,6.9853,1171.42,228.13,-31,79
63,"1,2-dicloroetano",C2H4CL2,7.0253,1271.25,222.94,-33,100
64,"1,1-difluoroetano",C2H4F2,7.03,910,244,-35,0
65,"1,2-diyodoetano",C2H4I2,6.98834,1647.1,201,98,253
66,Óxido-de-etileno,C2H4O,7.2701,1115.1,244.15,-73,37
67,Acetaldehído,C2H4O,7.0565,1070.6,236.01,-63,47
68,Ácido-acético,C2H4O2,7.2996,1479.02,216.82,17,157
69,Metil-formiato,C2H4O2,7.1704,1125.2,230.56,-48,51
70,Ácido-tioacético,C2H4OS,7.74889,1479.02,216.82,40,106
71,Tiaciclopropano,C2H4S,7.03725,1194.37,232.42,-35,77
